model,f1,pr_auc,accuracy,roc_auc,sensitivity,precision
Gaussian-smoothed + Functional logistic regression (L2) (sigma=6.0),0.7757416639891312,0.8089575578095765,0.9056483126110124,0.9225047632154257,0.8211550836550836,0.7366961858660148
Gaussian-smoothed + Functional logistic regression (L2) (sigma=4.0),0.7738933329236048,0.8079876436404884,0.9046536412078153,0.921906474070029,0.8204311454311454,0.7342711708286328
Raw + Functional logistic regression (L2),0.7726978466954039,0.8060622359191061,0.9042628774422735,0.9222910206311891,0.8182850707850707,0.7342302247877264
Gaussian-smoothed + Functional logistic regression (L2) (sigma=2.0),0.7716737611184589,0.8076201392676522,0.9036944937833037,0.9219119107369161,0.8184765122265122,0.7318812357596365
Gaussian-smoothed + Functional linear SVM (sigma=6.0),0.7118912655405903,0.7995755986145318,0.8675310834813499,0.9158401040237862,0.7800546975546976,0.6911802404757595
Gaussian-smoothed + Functional linear SVM (sigma=2.0),0.705541830020891,0.7947224387942515,0.8673889875666074,0.9155449212580122,0.7595962033462034,0.7023952708062094
Gaussian-smoothed + Functional linear SVM (sigma=4.0),0.7051579571871168,0.7979636566389192,0.8569449378330373,0.9154477536141684,0.7966907979407979,0.6674901306793106
Raw + Functional linear SVM,0.693444311128938,0.7929914400174398,0.855595026642984,0.9157346450730867,0.7789880952380952,0.6674295183965533
