model,wavelength,weight_mean,weight_std
Gaussian-smoothed + Functional linear SVM (sigma=2.0),448.0,-5.110855135854639,3.131782404481117
Gaussian-smoothed + Functional linear SVM (sigma=2.0),450.0,-5.059084102361076,2.986895678971181
Gaussian-smoothed + Functional linear SVM (sigma=2.0),452.0,-5.307160285592388,3.0730509969396014
Gaussian-smoothed + Functional linear SVM (sigma=2.0),454.0,-5.250025590056802,3.3958411068108196
Gaussian-smoothed + Functional linear SVM (sigma=2.0),456.0,-4.391567382610513,3.645545967989871
Gaussian-smoothed + Functional linear SVM (sigma=2.0),458.0,-2.615591387410512,3.4246560947230003
Gaussian-smoothed + Functional linear SVM (sigma=2.0),460.0,-0.2560426231516142,2.6861291331698287
Gaussian-smoothed + Functional linear SVM (sigma=2.0),462.0,2.076321791836702,1.9857030663354476
Gaussian-smoothed + Functional linear SVM (sigma=2.0),464.0,3.795038102840311,2.2314645903153942
Gaussian-smoothed + Functional linear SVM (sigma=2.0),466.0,4.585864121260018,2.979223881971959
Gaussian-smoothed + Functional linear SVM (sigma=2.0),468.0,4.489471931826626,3.4315387796739594
Gaussian-smoothed + Functional linear SVM (sigma=2.0),470.0,3.8352223125652647,3.3882625475397763
Gaussian-smoothed + Functional linear SVM (sigma=2.0),472.0,3.0895362597959815,2.985090557341751
Gaussian-smoothed + Functional linear SVM (sigma=2.0),474.0,2.6801501926911784,2.5381776779370817
Gaussian-smoothed + Functional linear SVM (sigma=2.0),476.0,2.8441935490303876,2.3833295468512294
Gaussian-smoothed + Functional linear SVM (sigma=2.0),478.0,3.548424013907878,2.602860107789756
Gaussian-smoothed + Functional linear SVM (sigma=2.0),480.0,4.511866971889038,3.009225938254649
Gaussian-smoothed + Functional linear SVM (sigma=2.0),482.0,5.323675614667692,3.4064835376035316
Gaussian-smoothed + Functional linear SVM (sigma=2.0),484.0,5.601458159382426,3.6521342837942945
Gaussian-smoothed + Functional linear SVM (sigma=2.0),486.0,5.1234524703583615,3.6389316268552303
Gaussian-smoothed + Functional linear SVM (sigma=2.0),488.0,3.891971315023244,3.3213155102668246
Gaussian-smoothed + Functional linear SVM (sigma=2.0),490.0,2.1206537307187525,2.755578727828375
Gaussian-smoothed + Functional linear SVM (sigma=2.0),492.0,0.16145040899664412,2.1302890725960864
Gaussian-smoothed + Functional linear SVM (sigma=2.0),494.0,-1.6020435658430403,1.7570917709235234
Gaussian-smoothed + Functional linear SVM (sigma=2.0),496.0,-2.857029884823809,1.808108256270747
Gaussian-smoothed + Functional linear SVM (sigma=2.0),498.0,-3.431858330434563,2.0242789035568505
Gaussian-smoothed + Functional linear SVM (sigma=2.0),500.0,-3.3235389717656774,2.1181237177931482
Gaussian-smoothed + Functional linear SVM (sigma=2.0),502.0,-2.675026599871818,2.01140559054491
Gaussian-smoothed + Functional linear SVM (sigma=2.0),504.0,-1.7193290319280021,1.7774808890961709
Gaussian-smoothed + Functional linear SVM (sigma=2.0),506.0,-0.7146569751408139,1.5758227993741492
Gaussian-smoothed + Functional linear SVM (sigma=2.0),508.0,0.11373223007462574,1.5516938312203459
Gaussian-smoothed + Functional linear SVM (sigma=2.0),510.0,0.6116042651541045,1.6965505606979854
Gaussian-smoothed + Functional linear SVM (sigma=2.0),512.0,0.7139748663706151,1.8910595547057831
Gaussian-smoothed + Functional linear SVM (sigma=2.0),514.0,0.4423519721994277,2.052596726612266
Gaussian-smoothed + Functional linear SVM (sigma=2.0),516.0,-0.11474846200943606,2.165695248513118
Gaussian-smoothed + Functional linear SVM (sigma=2.0),518.0,-0.832045041842583,2.247684258135573
Gaussian-smoothed + Functional linear SVM (sigma=2.0),520.0,-1.5809771228647083,2.312155485891604
Gaussian-smoothed + Functional linear SVM (sigma=2.0),522.0,-2.2554177062209755,2.3524742705371255
Gaussian-smoothed + Functional linear SVM (sigma=2.0),524.0,-2.78671142536471,2.349132083229823
Gaussian-smoothed + Functional linear SVM (sigma=2.0),526.0,-3.147300219225944,2.2872127552242474
Gaussian-smoothed + Functional linear SVM (sigma=2.0),528.0,-3.3422159640336635,2.167912029179453
Gaussian-smoothed + Functional linear SVM (sigma=2.0),530.0,-3.3959507658311803,2.0094330128587066
Gaussian-smoothed + Functional linear SVM (sigma=2.0),532.0,-3.339493552841702,1.8393157912831724
Gaussian-smoothed + Functional linear SVM (sigma=2.0),534.0,-3.20003674065778,1.6821585314786722
Gaussian-smoothed + Functional linear SVM (sigma=2.0),536.0,-2.995832222829689,1.5474289664940837
Gaussian-smoothed + Functional linear SVM (sigma=2.0),538.0,-2.7355323066737696,1.4250883697745886
Gaussian-smoothed + Functional linear SVM (sigma=2.0),540.0,-2.4212107170780506,1.2950265584013776
Gaussian-smoothed + Functional linear SVM (sigma=2.0),542.0,-2.0545595624520003,1.1445339151875211
Gaussian-smoothed + Functional linear SVM (sigma=2.0),544.0,-1.6431006597350803,0.9842171591718188
Gaussian-smoothed + Functional linear SVM (sigma=2.0),546.0,-1.2034167614243634,0.8581081296922048
Gaussian-smoothed + Functional linear SVM (sigma=2.0),548.0,-0.762505142557547,0.832348619746736
Gaussian-smoothed + Functional linear SVM (sigma=2.0),550.0,-0.35628250153188035,0.9302818312749489
Gaussian-smoothed + Functional linear SVM (sigma=2.0),552.0,-0.02430509943379973,1.0977845541583657
Gaussian-smoothed + Functional linear SVM (sigma=2.0),554.0,0.1964210477095282,1.2653387252312178
Gaussian-smoothed + Functional linear SVM (sigma=2.0),556.0,0.27609842799123263,1.386507509232546
Gaussian-smoothed + Functional linear SVM (sigma=2.0),558.0,0.19628430711344752,1.4378500884839873
Gaussian-smoothed + Functional linear SVM (sigma=2.0),560.0,-0.047111363008368275,1.4151713757684816
Gaussian-smoothed + Functional linear SVM (sigma=2.0),562.0,-0.4428158457953531,1.332777834144024
Gaussian-smoothed + Functional linear SVM (sigma=2.0),564.0,-0.9640651126137432,1.2258458722770016
Gaussian-smoothed + Functional linear SVM (sigma=2.0),566.0,-1.5700695000672946,1.150780197529085
Gaussian-smoothed + Functional linear SVM (sigma=2.0),568.0,-2.209402869302352,1.1664636191797415
Gaussian-smoothed + Functional linear SVM (sigma=2.0),570.0,-2.8241613088333093,1.2895153458750388
Gaussian-smoothed + Functional linear SVM (sigma=2.0),572.0,-3.356456144288344,1.4796570046770234
Gaussian-smoothed + Functional linear SVM (sigma=2.0),574.0,-3.7572194189665824,1.6788916648157588
Gaussian-smoothed + Functional linear SVM (sigma=2.0),576.0,-3.991993243757239,1.8419570084726897
Gaussian-smoothed + Functional linear SVM (sigma=2.0),578.0,-4.044634157630469,1.9422101365164557
Gaussian-smoothed + Functional linear SVM (sigma=2.0),580.0,-3.91925391880974,1.9701239146060403
Gaussian-smoothed + Functional linear SVM (sigma=2.0),582.0,-3.638677964163266,1.9305089030616471
Gaussian-smoothed + Functional linear SVM (sigma=2.0),584.0,-3.2397523189190367,1.8391837687146575
Gaussian-smoothed + Functional linear SVM (sigma=2.0),586.0,-2.7683474169939104,1.719102545597403
Gaussian-smoothed + Functional linear SVM (sigma=2.0),588.0,-2.2731038079681487,1.59534658932048
Gaussian-smoothed + Functional linear SVM (sigma=2.0),590.0,-1.799257388145456,1.4894308627975579
Gaussian-smoothed + Functional linear SVM (sigma=2.0),592.0,-1.3849819789102293,1.4141974952495975
Gaussian-smoothed + Functional linear SVM (sigma=2.0),594.0,-1.0570378928272348,1.3714844282256506
Gaussian-smoothed + Functional linear SVM (sigma=2.0),596.0,-0.8300073313129412,1.3559085892202123
Gaussian-smoothed + Functional linear SVM (sigma=2.0),598.0,-0.7075517024491671,1.361352085084311
Gaussian-smoothed + Functional linear SVM (sigma=2.0),600.0,-0.6819596215927679,1.385616964395113
Gaussian-smoothed + Functional linear SVM (sigma=2.0),602.0,-0.7351622837670527,1.431133833770445
Gaussian-smoothed + Functional linear SVM (sigma=2.0),604.0,-0.8409725680373975,1.5015343346406262
Gaussian-smoothed + Functional linear SVM (sigma=2.0),606.0,-0.9672887222875178,1.596635999126942
Gaussian-smoothed + Functional linear SVM (sigma=2.0),608.0,-1.0785741246364946,1.7092388028852785
Gaussian-smoothed + Functional linear SVM (sigma=2.0),610.0,-1.1388278550622473,1.8256673975323605
Gaussian-smoothed + Functional linear SVM (sigma=2.0),612.0,-1.1149337188253237,1.9291544664147038
Gaussian-smoothed + Functional linear SVM (sigma=2.0),614.0,-0.9800746785214597,2.00439391759514
Gaussian-smoothed + Functional linear SVM (sigma=2.0),616.0,-0.7164931619183561,2.0418120875199097
Gaussian-smoothed + Functional linear SVM (sigma=2.0),618.0,-0.3172682606848296,2.041218536650633
Gaussian-smoothed + Functional linear SVM (sigma=2.0),620.0,0.21436565540764158,2.014882519497465
Gaussian-smoothed + Functional linear SVM (sigma=2.0),622.0,0.8653043980470012,1.9896016059992871
