model,method,kind,representation,sigma,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,sensitivity_mean,sensitivity_std,precision_mean,precision_std,specificity_mean,specificity_std,accuracy_mean,accuracy_std,f1_mean,f1_std,youden_j_mean,youden_j_std,youden_threshold_mean,youden_threshold_std,best_C_mean,best_C_std,best_cv_roc_auc_mean,best_cv_roc_auc_std,n_nonzero_coefs_mean,n_nonzero_coefs_std
Gaussian-smoothed + Functional logistic regression (L2) (sigma=6.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,6.0,0.8089575578095765,0.04531237240643861,0.9225047632154257,0.014959128867649012,0.8211550836550836,0.03272689062403671,0.7366961858660148,0.04231638426877426,0.9265385671958087,0.016672848057521585,0.9056483126110124,0.01414437493555129,0.7757416639891312,0.02864232091386237,0.7476936508508923,0.03490243695044461,0.45125628140703516,0.012680202248855483,41.97705097914948,40.330809667332744,0.9201897410087885,0.005180051394542677,343.0,0.0
Gaussian-smoothed + Functional logistic regression (L2) (sigma=4.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,4.0,0.8079876436404884,0.04512926988269215,0.921906474070029,0.01436233158736246,0.8204311454311454,0.033802066855958324,0.7342711708286328,0.045907177704694234,0.925475442968428,0.018620546460271423,0.9046536412078153,0.015461407326249663,0.7738933329236048,0.030263721155678918,0.7459065883995736,0.036176614779288775,0.4549748743718593,0.017205355871686468,46.75937415381079,42.2541817990984,0.9200450147350935,0.0053538613734279705,343.0,0.0
Raw + Functional logistic regression (L2),Functional logistic regression (L2),logreg_l2,Raw spectra,0.0,0.8060622359191061,0.04388952801494397,0.9222910206311891,0.013695637361662542,0.8182850707850707,0.03223775683437013,0.7342302247877264,0.04693723488620373,0.9255185134313129,0.01834410786111017,0.9042628774422735,0.013750185834648564,0.7726978466954039,0.02644432617375647,0.7438035842163836,0.03074959841148918,0.4591959798994975,0.019044402166486347,50.125416876826336,43.01805115149795,0.9194326284141695,0.005431445000436485,343.0,0.0
Gaussian-smoothed + Functional logistic regression (L2) (sigma=2.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,2.0,0.8076201392676522,0.04287021054292569,0.9219119107369161,0.013660822660977978,0.8184765122265122,0.03249249642215596,0.7318812357596365,0.04536322634946863,0.9247661048211449,0.017962447708672478,0.9036944937833037,0.014457946707802222,0.7716737611184589,0.028679709854840547,0.743242617047657,0.03356657556391411,0.4547738693467337,0.017532914202182084,45.076352792303005,41.76333741482409,0.9198184668908369,0.005439643720733049,343.0,0.0
Gaussian-smoothed + Functional linear SVM (sigma=6.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,6.0,0.7995755986145318,0.043031407859838666,0.9158401040237862,0.014310792578236853,0.7800546975546976,0.1018709585947861,0.6911802404757595,0.15304172678931507,0.8891416321645116,0.09908557401621837,0.8675310834813499,0.06661805838761027,0.7118912655405903,0.0743207398246349,0.6691963297192091,0.07615865556553833,0.5687437185929648,0.12868475158865994,34.74310853368602,41.528711405393686,0.9169984432035454,0.006515554549607226,343.0,0.0
Gaussian-smoothed + Functional linear SVM (sigma=2.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,2.0,0.7947224387942515,0.040461096885669956,0.9155449212580122,0.013426617503143806,0.7595962033462034,0.11105029768891106,0.7023952708062094,0.16080238138489625,0.8940845319153111,0.0972579110398034,0.8673889875666074,0.061409519638577194,0.705541830020891,0.06885474794415186,0.6536807352615145,0.06484157922085981,0.597286432160804,0.11014651118758757,30.50294267557354,35.44495199970185,0.917136642661917,0.006198702870485966,343.0,0.0
Gaussian-smoothed + Functional linear SVM (sigma=4.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,4.0,0.7979636566389192,0.04030969657098728,0.9154477536141684,0.013848728729290829,0.7966907979407979,0.08750842124291744,0.6674901306793106,0.1626957957874616,0.8718866628730647,0.11494611360618738,0.8569449378330373,0.07910850327985769,0.7051579571871168,0.0825198520370661,0.6685774608138627,0.07001804334644536,0.5764824120603015,0.1233744732364689,33.33550357886503,38.206591138746326,0.9169896691727828,0.006367951664432048,343.0,0.0
Raw + Functional linear SVM,Functional linear SVM,linear_svm,Raw spectra,0.0,0.7929914400174398,0.04120870421486371,0.9157346450730867,0.013238789725858579,0.7789880952380952,0.11696126244012812,0.6674295183965533,0.15786425261376633,0.8745044444008399,0.10586870481786642,0.855595026642984,0.06805722769198672,0.693444311128938,0.07438535571636595,0.653492539638935,0.0730912006701754,0.5831155778894472,0.09955951819888573,31.91922312721929,36.87941025003968,0.9172630143080095,0.0061942719325281505,343.0,0.0
