selection_type,selection_name,method_family,classifier,J,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std
best_by_representation,FPCA,FPCA,linear_svm,15,0.6563929518731471,0.04253191562247932,0.8527032449930679,0.019011577206262967,0.5970048513586701,0.03172597419067329
best_by_representation,FPLS,FPLS,linear_svm,5,0.8700019146256034,0.03043581488345652,0.9319230374278399,0.01451284567833592,0.8113134388498884,0.027212049742220572
best_by_classifier,centroid,FPLS,centroid,3,0.6554615180107439,0.04503092308256627,0.8513762502414564,0.022630836092236012,0.5846907336299046,0.044648320720433066
best_by_classifier,knn,FPLS,knn,5,0.768452723705805,0.03386639481448836,0.8928483377649684,0.016035652837737332,0.7467433566043478,0.02633460685860618
best_by_classifier,linear_svm,FPLS,linear_svm,5,0.8700019146256034,0.03043581488345652,0.9319230374278399,0.01451284567833592,0.8113134388498884,0.027212049742220572
best_by_classifier,lr,FPLS,lr,5,0.8693310060173373,0.030355449758215202,0.9319003451061512,0.014548904723401439,0.8090994422020583,0.02717707981755072
best_by_classifier,weighted_knn,FPLS,weighted_knn,5,0.7947614568404974,0.033246543053473215,0.8943956025671437,0.0162556127974103,0.7565375771908885,0.030321646947763056
