split,sigma,representation,family,method,tuning,pr_auc,roc_auc,youden_threshold,sensitivity,precision,specificity,accuracy,f1,youden_j,best_C,best_cv_roc_auc,n_nonzero_coefs
rep1_fold2,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.8119055267609712,0.8937480202724106,0.24120603015075376,0.7678571428571429,0.7889908256880734,0.9490022172949002,0.9129662522202486,0.7782805429864253,0.7168593601520432,,,
rep1_fold2,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.8706434748352962,0.9125554323725055,0.3919597989949749,0.8303571428571429,0.8230088495575221,0.9556541019955654,0.9307282415630551,0.8266666666666667,0.7860112448527083,0.01,0.913702465871968,343.0
rep1_fold2,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.8756687369582146,0.9205535318340198,0.1708542713567839,0.8214285714285714,0.8518518518518519,0.9645232815964523,0.9360568383658969,0.8363636363636363,0.7859518530250238,0.01,0.9088989349446662,343.0
rep1_fold3,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.8012554091339987,0.8930353183401962,0.2914572864321608,0.7678571428571429,0.7610619469026548,0.9401330376940134,0.9058614564831261,0.7644444444444445,0.7079901805511564,,,
rep1_fold3,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.8598961986947035,0.9329466265441876,0.4170854271356784,0.8482142857142857,0.7983193277310925,0.9467849223946785,0.9271758436944938,0.8225108225108225,0.7949992081089641,0.01,0.9087700992258507,343.0
rep1_fold3,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.8520286304254441,0.9152676591700981,0.15075376884422112,0.8303571428571429,0.7948717948717948,0.9467849223946785,0.9236234458259325,0.8122270742358079,0.7771420652518213,0.01,0.9020416406283426,343.0
rep1_fold4,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.7943022741312264,0.8881453911941717,0.21608040201005024,0.7767857142857143,0.75,0.9356984478935698,0.9040852575488455,0.7631578947368421,0.7124841621792841,,,
rep1_fold4,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.8725733467368452,0.9208504909724422,0.4371859296482412,0.8482142857142857,0.8407079646017699,0.9600886917960089,0.9378330373001776,0.8444444444444444,0.8083029775102946,0.01,0.9158897101967182,343.0
rep1_fold4,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.8872148258404786,0.9303729806778587,0.1658291457286432,0.8392857142857143,0.831858407079646,0.9578713968957872,0.9342806394316163,0.8355555555555556,0.7971571111815015,0.01,0.9129558163037171,343.0
rep2_fold0,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.8043106929264415,0.864964522044168,0.23618090452261306,0.7477477477477478,0.7614678899082569,0.9424778761061947,0.9040852575488455,0.7545454545454545,0.6902256238539426,,,
rep2_fold0,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.8571530412436386,0.9184604958941243,0.3919597989949749,0.7837837837837838,0.75,0.9358407079646017,0.9058614564831261,0.7665198237885462,0.7196244917483856,0.01,0.9195855973084862,343.0
rep2_fold0,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.860684644265443,0.9171250896914613,0.1306532663316583,0.7927927927927928,0.7586206896551724,0.9380530973451328,0.9094138543516874,0.775330396475771,0.7308458901379256,0.01,0.9122775534697084,343.0
rep2_fold1,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.8458199808175328,0.9067507773259986,0.3869346733668342,0.7747747747747747,0.8269230769230769,0.9601769911504425,0.9236234458259325,0.8,0.7349517659252172,,,
rep2_fold1,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.9158492947506195,0.9405046639559913,0.3969849246231156,0.9009009009009009,0.8403361344537815,0.9579646017699115,0.9467140319715808,0.8695652173913043,0.8588655026708123,0.01,0.90508081552065,343.0
rep2_fold1,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.9244572866829486,0.9481384038906163,0.18090452261306533,0.9009009009009009,0.8264462809917356,0.9535398230088495,0.9431616341030196,0.8620689655172413,0.8544407239097505,0.01,0.8979197553108108,343.0
rep2_fold2,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.7662966051534525,0.8692191954387077,0.3869346733668342,0.7321428571428571,0.7735849056603774,0.9467849223946785,0.9040852575488455,0.7522935779816514,0.6789277795375357,,,
rep2_fold2,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.807518199384834,0.8751781754830535,0.4020100502512563,0.7946428571428571,0.7807017543859649,0.9445676274944568,0.9147424511545293,0.7876106194690266,0.7392104846373138,0.06309573444801933,0.9221675074258187,343.0
rep2_fold2,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.8083450816694935,0.8760492556224262,0.15577889447236182,0.8125,0.7459016393442623,0.9312638580931264,0.9076376554174067,0.7777777777777778,0.7437638580931263,0.01,0.9226898055718097,343.0
rep2_fold3,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.8253684458928434,0.9155646183085208,0.21105527638190955,0.8392857142857143,0.752,0.9312638580931264,0.9129662522202486,0.7932489451476793,0.7705495723788407,,,
rep2_fold3,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.8836027342925503,0.9308679125752296,0.3919597989949749,0.8660714285714286,0.8151260504201681,0.9512195121951219,0.9342806394316163,0.8398268398268398,0.8172909407665505,0.01,0.9137086427549983,343.0
rep2_fold3,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.887367081920137,0.9399350649350648,0.16080402010050251,0.8482142857142857,0.8407079646017699,0.9600886917960089,0.9378330373001776,0.8444444444444444,0.8083029775102946,0.01,0.9086203223670056,343.0
rep2_fold4,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.7974731445498437,0.8956485587583148,0.3919597989949749,0.7857142857142857,0.7652173913043478,0.9401330376940134,0.9094138543516874,0.775330396475771,0.7258473234082992,,,
rep2_fold4,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.850331920224359,0.8930947101678809,0.4020100502512563,0.8303571428571429,0.6888888888888889,0.9068736141906873,0.8916518650088809,0.7530364372469636,0.7372307570478303,0.06309573444801933,0.9268331884025655,343.0
rep2_fold4,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.8492275186896764,0.8920058599936648,0.16080402010050251,0.8214285714285714,0.7076923076923077,0.9157427937915743,0.8969804618117229,0.7603305785123967,0.7371713652201457,0.01,0.9284190403474,343.0
rep3_fold0,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.8097554217692827,0.8828430200111616,0.3969849246231156,0.7387387387387387,0.8817204301075269,0.9756637168141593,0.9289520426287744,0.803921568627451,0.714402455552898,,,
rep3_fold0,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.893641461822404,0.9375149485768955,0.4271356783919598,0.8378378378378378,0.775,0.9402654867256637,0.9200710479573713,0.8051948051948052,0.7781033245635016,0.06309573444801933,0.9059057071113351,343.0
rep3_fold0,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.8888244607620107,0.9337678386350954,0.1457286432160804,0.8288288288288288,0.7479674796747967,0.9314159292035398,0.911190053285968,0.7863247863247863,0.7602447580323686,0.01,0.9079883286675878,343.0
rep3_fold1,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.8169680738091047,0.8992864545961892,0.23115577889447236,0.7837837837837838,0.7699115044247787,0.9424778761061947,0.911190053285968,0.7767857142857143,0.7262616598899785,,,
rep3_fold1,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.8495195871561992,0.9002232320816392,0.46733668341708545,0.8018018018018018,0.839622641509434,0.9623893805309734,0.9307282415630551,0.8202764976958525,0.7641911823327754,0.01,0.9119611098544551,343.0
rep3_fold1,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.8582230435005143,0.9072590289404449,0.1457286432160804,0.8018018018018018,0.8557692307692307,0.9668141592920354,0.9342806394316163,0.827906976744186,0.7686159610938372,0.01,0.9016670000092873,343.0
rep3_fold2,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.8019945562854727,0.8782962464364903,0.21608040201005024,0.7589285714285714,0.7727272727272727,0.9445676274944568,0.9076376554174067,0.7657657657657657,0.7034961989230282,,,
rep3_fold2,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.8487094007822015,0.8900261324041813,0.49246231155778897,0.7767857142857143,0.8529411764705882,0.9667405764966741,0.9289520426287744,0.8130841121495327,0.7435262907823885,0.06309573444801933,0.9216034776554521,343.0
rep3_fold2,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.8425380003634557,0.8873930947101679,0.17587939698492464,0.7767857142857143,0.8446601941747572,0.9645232815964523,0.9271758436944938,0.8093023255813954,0.7413089958821666,0.01,0.9216169864484208,343.0
rep3_fold3,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.8471153999234993,0.9154260373772569,0.23618090452261306,0.8125,0.7844827586206896,0.9445676274944568,0.9182948490230906,0.7982456140350878,0.7570676274944568,,,
rep3_fold3,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.890408097380675,0.9398162812796957,0.4271356783919598,0.875,0.784,0.9401330376940134,0.9271758436944938,0.8270042194092827,0.8151330376940134,0.01,0.9137163513041459,343.0
rep3_fold3,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.882242263924713,0.9246317706683561,0.1457286432160804,0.8839285714285714,0.7388059701492538,0.9223946784922394,0.9147424511545293,0.8048780487804879,0.8063232499208108,0.01,0.9119866231814101,343.0
rep3_fold4,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.7426500870097665,0.8714364903389293,0.3869346733668342,0.7589285714285714,0.7083333333333334,0.9223946784922394,0.8898756660746003,0.7327586206896551,0.6813232499208108,,,
rep3_fold4,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.8284395037551016,0.9074873297434274,0.4472361809045226,0.8125,0.7913043478260869,0.9467849223946785,0.9200710479573713,0.801762114537445,0.7592849223946785,0.01,0.9164837455574152,343.0
rep3_fold4,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.8319912479786563,0.9098432055749128,0.22110552763819097,0.8035714285714286,0.7692307692307693,0.9401330376940134,0.9129662522202486,0.7860262008733624,0.743704466265442,0.01,0.9178422831848773,343.0
rep4_fold0,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.7602600426567474,0.857011879135773,0.3919597989949749,0.7117117117117117,0.8681318681318682,0.9734513274336283,0.9218472468916519,0.7821782178217822,0.68516303914534,,,
rep4_fold0,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.8771932310800545,0.9310571633580484,0.4020100502512563,0.8378378378378378,0.8017241379310345,0.9491150442477876,0.9271758436944938,0.8193832599118943,0.7869528820856253,0.01,0.9010225747092169,343.0
rep4_fold0,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.8737310507567247,0.9285458024396078,0.15075376884422112,0.8288288288288288,0.8141592920353983,0.9535398230088495,0.9289520426287744,0.8214285714285714,0.7823686518376785,0.01,0.8968783548745877,343.0
rep4_fold1,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.8525107963882176,0.8996252890058201,0.21105527638190955,0.8288288288288288,0.7479674796747967,0.9314159292035398,0.911190053285968,0.7863247863247863,0.7602447580323686,,,
rep4_fold1,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.8841107877460165,0.9238419835764969,0.457286432160804,0.8378378378378378,0.8157894736842105,0.9535398230088495,0.9307282415630551,0.8266666666666667,0.7913776608466874,0.01,0.9074919814435689,343.0
rep4_fold1,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.8853810693690405,0.9235430120385875,0.1407035175879397,0.8288288288288288,0.773109243697479,0.9402654867256637,0.9182948490230906,0.8,0.7690943155544925,0.01,0.9040533893808975,343.0
rep4_fold2,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.7954564913203492,0.8796325625593918,0.22613065326633167,0.75,0.7706422018348624,0.9445676274944568,0.9058614564831261,0.7601809954751131,0.6945676274944568,,,
rep4_fold2,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.8635661890374656,0.9196428571428572,0.4723618090452261,0.8035714285714286,0.8035714285714286,0.9512195121951219,0.9218472468916519,0.8035714285714286,0.7547909407665505,0.01,0.916201165713418,343.0
