sigma,representation,family,method,tuning,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,sensitivity_mean,sensitivity_std,precision_mean,precision_std,specificity_mean,specificity_std,accuracy_mean,accuracy_std,f1_mean,f1_std,youden_j_mean,youden_j_std,youden_threshold_mean,youden_threshold_std
0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.8656616690329421,0.02913610173132428,0.9151280626321098,0.019686295415276105,0.824734555984556,0.031627536301997675,0.7906970759398534,0.04493616200464481,0.9452824598237938,0.014898766035475259,0.9213854351687389,0.013530982899396795,0.8065577016425746,0.029996236080970736,0.7700170158083498,0.035094276319918814,0.16281407035175882,0.023438374324931104
4.0,"Gaussian-smoothed L2-normalised spectra, sigma=4",Functional linear,Functional linear SVM,inner-CV C,0.8689945030105445,0.026788072062645548,0.9177820145389756,0.018068145619871346,0.8272249034749035,0.033266768050065704,0.788241357708205,0.04262005991282858,0.9443490375370367,0.01409690929189666,0.9211367673179396,0.012590343801121824,0.8064325029140419,0.02833605117938985,0.7715739410119401,0.03500884646214865,0.15185929648241206,0.023901898793960805
6.0,"Gaussian-smoothed L2-normalised spectra, sigma=6",Functional linear,Functional linear SVM,inner-CV C,0.8727417385660174,0.025752315446185364,0.9208787032980319,0.017224323119199365,0.8250868725868726,0.027561851605854615,0.7942878510635991,0.046143802821978545,0.9463896356179974,0.015043150850484919,0.9223445825932504,0.013484413531323139,0.8086277529360903,0.02943880772115116,0.77147650820487,0.032064390886773445,0.14954773869346735,0.023647637949649147
8.0,"Gaussian-smoothed L2-normalised spectra, sigma=8",Functional linear,Functional linear SVM,inner-CV C,0.8739218076760367,0.02557681434125965,0.9215466975738399,0.017148995295343045,0.8270543758043758,0.03192515438911206,0.7994274305099602,0.04630454209795611,0.9478509899338736,0.015223818267819478,0.9239076376554174,0.013245077534142956,0.8120524231400316,0.028999493951776086,0.7749053657382494,0.03414832709531627,0.14653266331658293,0.0257307903421588
10.0,"Gaussian-smoothed L2-normalised spectra, sigma=10",Functional linear,Functional linear SVM,inner-CV C,0.8731234554764994,0.025631084733601536,0.9204223087719202,0.01737265576354782,0.825978120978121,0.031358995426417374,0.7925407457936774,0.04598661774676612,0.9456348723583777,0.01542505123207238,0.9219182948490231,0.01271228160069916,0.8078800535597004,0.02718183855285289,0.7716129933364987,0.0321507439996291,0.14462311557788946,0.025988466367561944
12.0,"Gaussian-smoothed L2-normalised spectra, sigma=12",Functional linear,Functional linear SVM,inner-CV C,0.8725882425186475,0.02548820120792753,0.91934556945457,0.017308178780987244,0.8284845559845561,0.03122213734737127,0.7917467772593756,0.044860270222410806,0.945281773051037,0.01518154856276025,0.9221314387211368,0.012719370365874361,0.8087512271755919,0.02757835439836272,0.773766329035593,0.03243224716991669,0.14251256281407035,0.025375843634194702
0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.8650204512436482,0.02800157454507776,0.9154730462085309,0.019765479684882077,0.8292036679536678,0.03285946885426675,0.7924935242903767,0.03887285291588499,0.9457672232796343,0.012882283990413433,0.922664298401421,0.012191326974424443,0.8097550970954634,0.027759436608306143,0.7749708912333021,0.03525074781216941,0.41658291457286434,0.031866700831913904
4.0,"Gaussian-smoothed L2-normalised spectra, sigma=4",Functional linear,Functional logistic regression (L2),inner-CV C,0.8690199754074938,0.026061964915265586,0.9189294245281187,0.018372665697030142,0.8288449163449164,0.031170976796803213,0.792011623841049,0.0359245589613147,0.9457244471479308,0.011732521435414483,0.9225577264653642,0.011176206823418043,0.8094192221918525,0.02565159759302927,0.7745693634928472,0.03315704945530991,0.4224120603015076,0.0384101413048205
6.0,"Gaussian-smoothed L2-normalised spectra, sigma=6",Functional linear,Functional logistic regression (L2),inner-CV C,0.870785837701783,0.025739709749442844,0.9204566332992838,0.01767594410545251,0.8277622265122265,0.030693083910794866,0.7959975785795783,0.039834874531512555,0.9469627965386652,0.013109676239786332,0.9233392539964476,0.012176266128977483,0.810899326892237,0.027289726996555037,0.7747250230508917,0.033440626159904584,0.4314572864321608,0.04229996350426337
8.0,"Gaussian-smoothed L2-normalised spectra, sigma=8",Functional linear,Functional logistic regression (L2),inner-CV C,0.8706626094134424,0.025583893467960916,0.920179446467219,0.017889407916544038,0.8277638352638352,0.029375481091799088,0.7961507371990308,0.03611712305121803,0.9471851146910504,0.011276254949056904,0.9235168738898757,0.011321645771250777,0.8111582297111171,0.026272350819304804,0.7749489499548856,0.03269199604169474,0.4321608040201005,0.04681074052232908
