wavelength,mean_non_binary_raw,mean_binary_raw,mean_non_binary_l2,mean_binary_l2,difference_binary_minus_non_binary_l2,direction
634.0,6.301776824903299e-17,3.86980004593538e-17,0.02481394541414546,0.030624084651237563,0.005810139237092102,binary_higher
636.0,6.258024823146259e-17,3.842517132542985e-17,0.024574644751644868,0.030381734262402288,0.00580708951075742,binary_higher
638.0,6.172695798325826e-17,3.799930798402366e-17,0.024232172286484683,0.02999780860026416,0.005765636313779476,binary_higher
632.0,6.330664426669276e-17,3.8826684680993136e-17,0.02494758469068446,0.03071199947743747,0.005764414786753009,binary_higher
668.0,5.1998763731257067e-17,3.301777807239032e-17,0.02053326564885994,0.026272300089367196,0.005739034440507256,binary_higher
654.0,5.3180623309637413e-17,3.363264743462505e-17,0.02083280668575763,0.02656196496126809,0.00572915827551046,binary_higher
640.0,6.066967205178038e-17,3.756011541207163e-17,0.023889897753514605,0.02961893709173227,0.005729039338217664,binary_higher
666.0,5.253202883316017e-17,3.3222542324489054e-17,0.020679982751509215,0.026406453129090054,0.005726470377580839,binary_higher
642.0,6.020577052127923e-17,3.742571442977271e-17,0.023769836965111073,0.029495594524279578,0.005725757559168505,binary_higher
656.0,5.174765658856093e-17,3.2935105201429474e-17,0.020276531225451054,0.026001330254385925,0.005724799028934871,binary_higher
340.0,4.479812295616868e-16,2.0117477819732585e-16,0.15444988298911255,0.14446611254567504,-0.009983770443437512,non_binary_higher
342.0,4.231614647202259e-16,1.9258105843588113e-16,0.1491337522666699,0.13952425248345784,-0.009609499783212044,non_binary_higher
338.0,4.615277638980218e-16,2.067650414975571e-16,0.15722329486240053,0.14762490379321896,-0.009598391069181561,non_binary_higher
344.0,4.1184184875542925e-16,1.8793943363137031e-16,0.14568810435819177,0.13680426346570693,-0.00888384089248484,non_binary_higher
336.0,4.444706897992948e-16,2.0452286949749917e-16,0.1550215346821,0.1464577324594049,-0.008563802222695094,non_binary_higher
346.0,4.0855973990940995e-16,1.8555859881307659e-16,0.14330017555558677,0.13504333772242005,-0.00825683783316672,non_binary_higher
348.0,4.004027599540949e-16,1.8310363755845392e-16,0.14116388943754785,0.1331772332387819,-0.007986656198765957,non_binary_higher
360.0,3.6982771590832147e-16,1.7000288261526197e-16,0.1322868001610419,0.1243832905124691,-0.00790350964857281,non_binary_higher
350.0,3.8032093563318326e-16,1.7715296997203341e-16,0.1366900807965811,0.12904470010369182,-0.007645380692889281,non_binary_higher
358.0,3.76133677083856e-16,1.6991438676097768e-16,0.13173735608128856,0.12418935389458219,-0.007548002186706371,non_binary_higher
