wavelength,mean_d1_non_binary,mean_d1_binary,mean_d2_non_binary,mean_d2_binary
336.0,0.00110088009014992,0.0005835856669070481,-0.0006218965066985008,-0.000540745322669776
338.0,-0.00014291292324708239,-0.0004979049784325044,-0.000780816434770655,-0.0006521871235868375
340.0,-0.002022385648932702,-0.002025162827440303,-0.0005118829336207579,-0.0003543893228898817
342.0,-0.0021904446577301127,-0.0019154622699920302,0.00014099786779050156,0.0002262335342952185
344.0,-0.0014583941777706942,-0.0011202286902594275,0.00026484773189227375,0.0002521761783151969
346.0,-0.001131053730161013,-0.0009067575567312425,-4.8532377995188144e-05,-9.485767860565576e-05
348.0,-0.0016525236897514497,-0.0014996594046820509,-0.00016568622958314233,-0.0001642866832832773
350.0,-0.0017937986484935857,-0.0015639042898643526,0.00029993206054972223,0.00032241328324572393
352.0,-0.00045279544755256383,-0.00021000627169915568,0.00045624933848927495,0.0004065437676449008
354.0,3.1198705463515636e-05,6.227078071525304e-05,-8.314757092950401e-05,-0.000198456002219781
356.0,-0.0007853857312705776,-0.0010038302805782788,-0.00012196777038997591,-0.00018978073828608246
358.0,-0.00045667237609638644,-0.0006968521724290764,0.00010063509217953697,0.00015791774075073198
360.0,-0.00038284536255243126,-0.0003721593175753545,-0.0003085950094828776,-0.00017584066504087653
362.0,-0.0016910524140279007,-0.0014002148325925837,-0.0003800423103331632,-0.00030556985374567653
364.0,-0.0019030146038850851,-0.0015944387325580603,0.0002641012101967808,0.0002220978688318738
366.0,-0.0006346475732407755,-0.0005118233572650882,0.0005448081194743907,0.00046158619227630956
368.0,0.00027621787401247707,0.00025190603654717624,0.00014737824249572818,0.00010312927956425791
370.0,-4.51346032578624e-05,-9.930623900805638e-05,-0.00025035277468091156,-0.00025630781969686827
372.0,-0.0007251932247111691,-0.0007733252422402971,-0.0002689177779046392,-0.00025906031038989345
374.0,-0.0011208057148764186,-0.001135547480567628,-2.7774934207561538e-05,1.57322422581486e-06
376.0,-0.0008362929615414149,-0.0007670323453370379,0.0002247976564859368,0.00026448493979067713
378.0,-0.00022161508893267512,-7.760772140492042e-05,0.0001915779101234793,0.0001984189706652992
380.0,-6.998132104749715e-05,2.664353732415898e-05,6.484924799217962e-05,5.8084710849931335e-06
382.0,3.778190303604398e-05,-5.437383706494787e-05,0.00011386952686497238,3.080545909602401e-05
384.0,0.0003854967864123927,0.00014986537370825518,9.888691635871305e-05,7.700481508731845e-05
386.0,0.00043332956847089594,0.0002536454232843258,-0.00014282968866165583,-8.668050499506145e-05
388.0,-0.00018582196823423118,-0.00019685664627199095,-0.00036581002418746095,-0.0002965127107862585
390.0,-0.0010299105282789481,-0.0009324054198607056,-0.00033711587607633515,-0.00030329060760623
392.0,-0.0015342854725395691,-0.0014100190766969125,-0.00010247028406400568,-8.539535600111802e-05
394.0,-0.0014397916645349693,-0.0012739868438651782,0.00019707548700145124,0.00023389558746644596
