source_id,y,class_name,auc,roughness_d1,roughness_d2
1792620565667968,0,non_binary,24.60899582315191,0.0006534430485830627,0.00010239524340819011
6052403489630720,0,non_binary,24.14401684206573,0.00039222412577204376,4.799148304931409e-05
10844075163628928,0,non_binary,28.351814741302753,0.0005017817635214541,5.902125452646498e-05
11015044926034816,0,non_binary,26.794634717831045,0.001251405897343466,0.0001637453044801537
11963171843658240,0,non_binary,27.884114819860308,0.0006953898525254498,0.0001180118366096524
16615171179593088,0,non_binary,30.42529243277014,0.0003530817492287615,3.561984359066473e-05
25501939551450880,0,non_binary,26.060950333774283,0.0001776118574271203,1.5735320198579905e-05
30269452033850624,0,non_binary,25.732119451311462,0.00020917570792939108,1.8123982632292045e-05
31265029748469120,0,non_binary,25.407705319396072,0.0003380342117700192,3.626152456821372e-05
35928500943041152,1,binary,28.938149873108934,0.0013517455033772053,0.00020962092977084976
36876009385300352,0,non_binary,27.574769577229784,0.0014665550794443181,0.00024129661503811693
44951132016854016,0,non_binary,30.60475577665334,0.002287703748765029,0.0004071574806824816
46608061680943872,0,non_binary,30.306276692865445,0.0007044150188992163,0.00010966556569656312
56252977678408192,0,non_binary,26.827930095439978,0.000946125023520723,0.0001513645402780043
63139734399542528,0,non_binary,27.525703768272052,0.0008992646982911274,0.00013199318021506033
64368713521485568,0,non_binary,27.9588549460286,0.0008728556270866918,0.00016243300059271654
69784942159807232,0,non_binary,26.721788653071666,0.0026731385738199037,0.0003888761391797746
69886853143994496,0,non_binary,28.599815437840327,0.0011932251646355422,0.00020365818208557604
74703607425569024,0,non_binary,26.27042982118065,0.0003880435665971008,5.182209552230733e-05
78846635958426496,0,non_binary,26.09772017407245,0.0008627091720887424,0.00011771415870568305
79376016447500416,0,non_binary,24.87884530205785,0.0006674879141474221,0.000100146029555578
80762260092162688,0,non_binary,26.98723210581921,0.00039409299427940704,5.844552050115259e-05
83757226686850816,0,non_binary,25.452430809751707,0.0007330000299680458,9.932617566558832e-05
84006403509432192,0,non_binary,27.814249135615444,0.0003413383918626765,4.669302268718712e-05
85707760314515712,0,non_binary,28.013575219336033,0.0002985638209556599,4.383264558280718e-05
93468972376758144,1,binary,27.508040638571728,0.0013794219936845871,0.00023496587275680545
97013488627139328,0,non_binary,25.2100920282923,0.0007492839734479194,0.00011739770695233017
99836961472298752,0,non_binary,25.561302796446178,0.0008010889064415843,8.888969954445467e-05
100734064176680704,0,non_binary,25.879412151776116,0.00030925309691726935,3.6734720482834076e-05
101096662495962240,0,non_binary,26.221145916236992,0.0011544000958567473,0.00016188973158837606
102622917779071744,0,non_binary,26.15136925854407,0.0026376850617360493,0.0005076502671417277
102803104542235008,0,non_binary,24.591943493763548,0.0014898526430343053,0.0002077832758383603
107344877838785408,1,binary,28.23938538404451,0.00023161194714024614,2.8632857768860067e-05
107585292928397568,0,non_binary,26.016767172864853,0.00033099698449781965,4.0875653904279314e-05
108002248353357312,0,non_binary,26.78766712908049,0.0003709198563910179,3.6487258909078914e-05
115962815619380096,0,non_binary,28.53365944098458,0.002583128138384564,0.0005082587997670484
116691791828603136,0,non_binary,26.413448423239675,0.0013405145161918522,0.00023253169626690572
120129277493243008,0,non_binary,27.92316835702596,0.0008580564135264669,0.00014975372615866299
121824174666929024,0,non_binary,28.48836408705834,0.0006250687661843287,9.677975693248708e-05
125093503772825856,0,non_binary,28.273991580406843,0.001499251363443726,0.00023492364296054185
125893776439505664,0,non_binary,26.06229910159287,0.0007801360216656757,0.00011381434090170762
127674641678296704,0,non_binary,24.761270914189417,0.00041109999570503584,5.2757430471865595e-05
132944115577925504,0,non_binary,27.05889188869765,0.00041455807325748193,6.13099522152914e-05
133373444804991744,1,binary,26.47685512981605,0.0008470120852450879,0.00012141971954526022
141428363911552384,0,non_binary,24.174235258813578,0.00025758335637686934,1.9156731938792745e-05
142086971376178688,0,non_binary,24.669880292575463,0.0006811265860878156,9.59387756499128e-05
143510907654193024,1,binary,27.51350038812386,0.0005766644088560959,7.41852769459313e-05
146588028382865280,1,binary,29.399209826750933,0.0003984290588833147,5.758070116138116e-05
150218508402721152,0,non_binary,31.080289443779932,0.0015768201795759468,0.00031620328798736777
150480505705334784,0,non_binary,30.978192954943367,0.0006603511230719589,9.019777163239404e-05
150610660393771648,0,non_binary,27.727152547384808,0.001516001433647032,0.00017891020328303025
162522700650966400,0,non_binary,26.526745259418398,0.001064086497340171,0.0001995144886414483
163016106492676352,0,non_binary,28.841582139856783,0.0006600015084746433,9.471591281900715e-05
163565999746075264,1,binary,28.693938883255353,0.0003557252291411051,5.022671149874809e-05
165712109004835712,0,non_binary,30.14610140082656,0.001689977203417095,0.0002882453395361051
165787700429000064,0,non_binary,29.953861087568413,0.0023701308164035748,0.0002941244178155141
169258102725227008,0,non_binary,28.110474892598777,0.0007479153320110203,0.00012010181894965261
170774775937432832,0,non_binary,29.75207543694487,0.0011826721568598609,0.00018318037626205956
176164272695455744,1,binary,27.46695321450078,0.009355489244965865,0.0017336126040019707
176209799348981376,0,non_binary,29.004290470923355,0.0005346786426903041,8.526284148882671e-05
177389712764641920,0,non_binary,29.769413591346243,0.00038106095815640124,5.104907068481351e-05
181774221540061824,0,non_binary,30.827860778906235,0.00032330732881230177,3.1655950314197066e-05
184468780942344960,0,non_binary,26.728887794978423,0.00029183040429224777,3.3490471945112e-05
189831438452843008,0,non_binary,29.79909910446997,0.0003984351196772782,5.2753058471626305e-05
