wavelength,mean_non_binary_raw,mean_binary_raw,mean_non_binary_l2,mean_binary_l2,difference_binary_minus_non_binary_l2
336.0,4.444706897992948e-16,2.0452286949749917e-16,0.1550215346821,0.1464577324594049,-0.008563802222695094
338.0,4.615277638980218e-16,2.067650414975571e-16,0.15722329486240053,0.14762490379321896,-0.009598391069181561
340.0,4.479812295616868e-16,2.0117477819732585e-16,0.15444988298911255,0.14446611254567504,-0.009983770443437512
342.0,4.231614647202259e-16,1.9258105843588113e-16,0.1491337522666699,0.13952425248345784,-0.009609499783212044
344.0,4.1184184875542925e-16,1.8793943363137031e-16,0.14568810435819177,0.13680426346570693,-0.00888384089248484
346.0,4.0855973990940995e-16,1.8555859881307659e-16,0.14330017555558677,0.13504333772242005,-0.00825683783316672
348.0,4.004027599540949e-16,1.8310363755845392e-16,0.14116388943754785,0.1331772332387819,-0.007986656198765957
350.0,3.8032093563318326e-16,1.7715296997203341e-16,0.1366900807965811,0.12904470010369182,-0.007645380692889281
352.0,3.729965364887997e-16,1.7403598573732546e-16,0.13398869484357373,0.12692161607932437,-0.007067078764249363
354.0,3.876620108204444e-16,1.759811683824592e-16,0.1348788990063709,0.12820467501689542,-0.006674223989475481
356.0,3.914589134871236e-16,1.7450769006207965e-16,0.1341134896654275,0.12717069920218538,-0.006942790463242116
358.0,3.76133677083856e-16,1.6991438676097768e-16,0.13173735608128856,0.12418935389458219,-0.007548002186706371
360.0,3.6982771590832147e-16,1.7000288261526197e-16,0.1322868001610419,0.1243832905124691,-0.00790350964857281
362.0,3.670660344587532e-16,1.682643522932708e-16,0.13020597463107858,0.12270071662428081,-0.0075052580067977714
364.0,3.6189981867984976e-16,1.6360474178692508e-16,0.12552259050493017,0.11878243118209868,-0.006740159322831493
366.0,3.542797585511327e-16,1.6020879537354084e-16,0.12259391621553822,0.1163229616940484,-0.006270954521489819
368.0,3.47209117234272e-16,1.6008690548877695e-16,0.12298400021196709,0.11673513775303833,-0.006248862458928764
370.0,3.441172544561821e-16,1.6063899972251886e-16,0.12369878771158845,0.11733058584023727,-0.006368201871351176
372.0,3.4758356973425245e-16,1.60034317760176e-16,0.12280346179893585,0.11633791279700623,-0.006465549001929624
374.0,3.5098382415941056e-16,1.5805970628222756e-16,0.12079801481274355,0.11423728487127603,-0.006560729941467516
