wavelength,beta_logreg_raw,abs_beta_logreg_raw
1020.0,0.1459900626305403,0.1459900626305403
1000.0,0.14177598158861962,0.14177598158861962
998.0,0.14164214256276358,0.14164214256276358
972.0,0.14037256098696518,0.14037256098696518
974.0,0.13867187985490456,0.13867187985490456
996.0,0.13840910608800897,0.13840910608800897
970.0,0.13738229692246728,0.13738229692246728
1002.0,0.13700335987978582,0.13700335987978582
994.0,0.13320384218761797,0.13320384218761797
976.0,0.13270239581027457,0.13270239581027457
968.0,0.13038797641496064,0.13038797641496064
992.0,0.12665454686971367,0.12665454686971367
940.0,0.12585706575272565,0.12585706575272565
938.0,0.1255014791300038,0.1255014791300038
1004.0,0.1254498311643069,0.1254498311643069
