wavelength,beta_logreg_raw,beta_svm_raw,abs_beta_logreg_raw,abs_beta_svm_raw
336.0,-0.04292584021057487,-0.0523321177212315,0.04292584021057487,0.0523321177212315
338.0,0.046758937469272135,0.06672704704853101,0.046758937469272135,0.06672704704853101
340.0,0.051932821715384485,0.017594909224544184,0.051932821715384485,0.017594909224544184
342.0,0.016991957823152982,-0.01369583663493369,0.016991957823152982,0.01369583663493369
344.0,0.0033088826149699274,0.0006182640601556121,0.0033088826149699274,0.0006182640601556121
346.0,0.024256436405818545,0.017147046973896747,0.024256436405818545,0.017147046973896747
348.0,0.04000463989867809,0.01106706271775753,0.04000463989867809,0.01106706271775753
350.0,0.031240445754304392,0.003178782814090539,0.031240445754304392,0.003178782814090539
352.0,0.030833027868339843,0.01692537110311249,0.030833027868339843,0.01692537110311249
354.0,0.05460459930949456,0.03855828848098568,0.05460459930949456,0.03855828848098568
356.0,0.05524167809613101,0.03878591172690475,0.05524167809613101,0.03878591172690475
358.0,0.024381054268983675,0.028485958589817704,0.024381054268983675,0.028485958589817704
360.0,0.017669827414663827,0.03349209224730093,0.017669827414663827,0.03349209224730093
362.0,0.060097191134161565,0.055527070862265965,0.060097191134161565,0.055527070862265965
364.0,0.10494574128040662,0.07156309075680382,0.10494574128040662,0.07156309075680382
366.0,0.09034869892037695,0.05956622580063497,0.09034869892037695,0.05956622580063497
368.0,0.016869458121289992,0.021066215101889448,0.016869458121289992,0.021066215101889448
370.0,-0.04809813247561674,-0.018096385307318837,0.04809813247561674,0.018096385307318837
372.0,-0.050220842581881336,-0.030518753030743535,0.050220842581881336,0.030518753030743535
374.0,-0.016259097038494562,-0.019556004058158886,0.016259097038494562,0.019556004058158886
376.0,0.0009596335826227272,-0.006924625202134607,0.0009596335826227272,0.006924625202134607
378.0,-0.010132409387080576,-0.004542011621324101,0.010132409387080576,0.004542011621324101
380.0,-0.01909403310926682,-0.00698767291267374,0.01909403310926682,0.00698767291267374
382.0,-0.0026781925156975695,-0.002998026293075219,0.0026781925156975695,0.002998026293075219
384.0,0.01871978592703568,0.006252051308206605,0.01871978592703568,0.006252051308206605
386.0,0.017342228228380593,0.009286295692518702,0.017342228228380593,0.009286295692518702
388.0,0.002764152562998322,0.004625980920916139,0.002764152562998322,0.004625980920916139
390.0,-0.00017740669706155975,0.0008402692829508251,0.00017740669706155975,0.0008402692829508251
