wavelength,beta_svm_raw,abs_beta_svm_raw
1020.0,0.17035681444121317,0.17035681444121317
974.0,0.110799839874619,0.110799839874619
972.0,0.1103239736937871,0.1103239736937871
1000.0,0.10729355277765472,0.10729355277765472
976.0,0.10441836763865106,0.10441836763865106
970.0,0.10342393934044915,0.10342393934044915
1002.0,0.10334795187302609,0.10334795187302609
998.0,0.10230114535922835,0.10230114535922835
942.0,0.09513636577741157,0.09513636577741157
944.0,0.09444420522222279,0.09444420522222279
722.0,-0.09397173853139158,0.09397173853139158
978.0,0.09253558305199211,0.09253558305199211
968.0,0.09186964212911371,0.09186964212911371
724.0,-0.09180013894145699,0.09180013894145699
996.0,0.09159648457641029,0.09159648457641029
