source,family,method,representation,tuning,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,sensitivity_mean,sensitivity_std,precision_mean,precision_std,specificity_mean,specificity_std,accuracy_mean,accuracy_std,f1_mean,f1_std,youden_j_mean,youden_j_std
rerun,Functional linear,Functional logistic regression (L2),L2-normalised sampled spectra,inner-CV C | mean best C=0.01743,0.8650211634905596,0.028002322025703952,0.9154734421540486,0.019765722535717033,0.8292036679536678,0.03285946885426675,0.7924935242903767,0.03887285291588499,0.9457672232796343,0.012882283990413433,0.922664298401421,0.012191326974424443,0.8097550970954634,0.027759436608306143,0.7749708912333021,0.03525074781216941
rerun,Functional linear,Functional linear SVM,L2-normalised sampled spectra,inner-CV C | mean best C=0.01776,0.8656604496611543,0.02913375222184822,0.9151260748549223,0.019682404517356904,0.824734555984556,0.031627536301997675,0.7915969562749151,0.04592136303414667,0.9455479465494574,0.015164804926685828,0.9215985790408525,0.013791143607388982,0.8070114425918908,0.030553178619113514,0.7702825025340134,0.035377774971699694
rerun,Functional linear,Functional logistic regression (L1),L2-normalised sampled spectra,inner-CV C | mean best C=0.869,0.8547857089888174,0.030313190125581348,0.9114857713033842,0.020486918165077767,0.8279536679536679,0.03236860665877259,0.7709045055903673,0.050651661060458514,0.9380583953063987,0.01764295987727964,0.916234458259325,0.014862306121500288,0.7972959820416969,0.03140314701070314,0.7660120632600668,0.03508639917561602
rerun,Distance-based functional,weighted kNN + seuclidean,L2-normalised sampled spectra,k=5,0.8083035719895585,0.035406068880147225,0.891047777384789,0.020077442897347045,0.7764993564993565,0.040169726725056594,0.7735543426724187,0.043184396006029926,0.9429271235994742,0.014495686166182953,0.9099467140319716,0.011810625854084773,0.7737684905003854,0.027378325908574485,0.7194264800988307,0.03803466120959129
rerun,Distance-based functional,weighted kNN + euclidean,L2-normalised sampled spectra,k=5,0.7368097554455211,0.040612532216900775,0.8546217172098081,0.024432045898361763,0.6854874517374517,0.04144566629564494,0.7153534369840271,0.048762467995203576,0.931499126817495,0.016620960340727988,0.8827353463587921,0.014043185922598497,0.6987237832751275,0.03192271611230983,0.6169865785549468,0.041081726885983244
rerun,Distance-based functional,weighted kNN + cosine,L2-normalised sampled spectra,k=5,0.7367089521076096,0.04045188684249058,0.8546382717919789,0.024411735236565247,0.6858445945945946,0.042392375988015964,0.7100419644319311,0.04995926233891653,0.9294619626003179,0.018436447728098496,0.8811722912966252,0.014568676679481031,0.6961080832090574,0.031372843877013494,0.6153065571949125,0.04062628771285893
rerun,Distance-based functional,centroid + seuclidean,L2-normalised sampled spectra,class centroids,0.5737511381933412,0.04116850328087788,0.7997846451917787,0.02473236138006947,0.7347796010296009,0.0372290348515859,0.4411059873548037,0.028577799646267627,0.768678649216098,0.024406717208010326,0.7619538188277087,0.020621930486711595,0.550739860590054,0.028078621384166513,0.503458250245699,0.04367057761341291
rerun,Distance-based functional,centroid + cosine,L2-normalised sampled spectra,class centroids,0.5393035292905752,0.043800514279601625,0.7770231830441198,0.025532246761883686,0.7207995495495496,0.036209127950309075,0.3967995373409117,0.02646852140253189,0.7278712987853934,0.02590672105356582,0.7264653641207814,0.022094564981187097,0.5113945305392605,0.02729908279537229,0.44867084833494286,0.044905149983797486
rerun,Distance-based functional,centroid + euclidean,L2-normalised sampled spectra,class centroids,0.5400991201928306,0.04380358926092816,0.7772153519482464,0.025559196620693708,0.7197232947232948,0.03662923229659418,0.3964513552699659,0.02670495160979284,0.7278712006749996,0.02603583298661348,0.7262522202486679,0.02225611387014386,0.5108300900884495,0.02759988243733688,0.44759449539829427,0.0454370534017243
rerun,Distance-based functional,weighted kNN + correlation,L2-normalised sampled spectra,k=5,0.5450406332211624,0.04381530477137882,0.7289223763317223,0.024416629378733515,0.48464929214929214,0.06022323486514023,0.5245776092547182,0.06076163484640096,0.8869795734160077,0.04530694659121212,0.8072113676731795,0.03110436409167202,0.4999611150813545,0.04155220166317103,0.37162886556529984,0.050565102920306804
rerun,Distance-based functional,centroid + correlation,L2-normalised sampled spectra,class centroids,0.3727175769936261,0.04444061027970177,0.677382422395373,0.031217700959840597,0.7093339768339768,0.04640606126430227,0.2779792367366487,0.01645966652471478,0.542850793713086,0.04161185553887379,0.5758436944937833,0.029475685772071433,0.39891170288223526,0.019378794584588303,0.2521847705470628,0.04245047287731296
